id_cliente,campaña,tipo_campaña,mes,año,respuesta_real,respuesta_predicha,probabilidad_compra,respuesta_real_texto,respuesta_predicha_texto,resultado_clasificacion
4,Campaña Escolar,Escolar,Marzo,2025,0,0,0.438849,No compró,No comprará,Verdadero negativo
4,Cyber Wow Abril,Digital,Abril,2025,0,0,0.170742,No compró,No comprará,Verdadero negativo
4,Cyber Wow Julio,Digital,Julio,2025,0,0,0.269494,No compró,No comprará,Verdadero negativo
4,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.231348,No compró,No comprará,Verdadero negativo
4,Día de la Madre,Familiar,Mayo,2025,1,0,0.276092,Compró,No comprará,Falso negativo
4,Día del Padre,Familiar,Junio,2025,0,0,0.291631,No compró,No comprará,Verdadero negativo
4,Fiestas Patrias,Festiva,Julio,2025,0,0,0.485166,No compró,No comprará,Verdadero negativo
4,Navidad,Festiva,Diciembre,2025,1,1,0.765985,Compró,Comprará,Verdadero positivo
5,Black Friday,Digital,Noviembre,2025,0,0,0.219195,No compró,No comprará,Verdadero negativo
5,Campaña Escolar,Escolar,Febrero,2025,0,0,0.298723,No compró,No comprará,Verdadero negativo
5,Campaña Escolar,Escolar,Marzo,2025,0,0,0.348481,No compró,No comprará,Verdadero negativo
5,Cyber Wow Abril,Digital,Abril,2025,0,0,0.173856,No compró,No comprará,Verdadero negativo
5,Cyber Wow Julio,Digital,Julio,2025,0,0,0.174859,No compró,No comprará,Verdadero negativo
5,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.144862,No compró,No comprará,Verdadero negativo
5,Día de la Madre,Familiar,Mayo,2025,0,0,0.217867,No compró,No comprará,Verdadero negativo
5,Día del Padre,Familiar,Junio,2025,0,0,0.222735,No compró,No comprará,Verdadero negativo
5,Fiestas Patrias,Festiva,Julio,2025,0,0,0.383698,No compró,No comprará,Verdadero negativo
5,Navidad,Festiva,Diciembre,2025,1,1,0.547113,Compró,Comprará,Verdadero positivo
6,Black Friday,Digital,Noviembre,2025,0,0,0.274096,No compró,No comprará,Verdadero negativo
6,Campaña Escolar,Escolar,Febrero,2025,0,0,0.357618,No compró,No comprará,Verdadero negativo
6,Campaña Escolar,Escolar,Marzo,2025,1,0,0.35659,Compró,No comprará,Falso negativo
6,Cyber Wow Abril,Digital,Abril,2025,0,0,0.153817,No compró,No comprará,Verdadero negativo
6,Cyber Wow Julio,Digital,Julio,2025,0,0,0.284649,No compró,No comprará,Verdadero negativo
6,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.214137,No compró,No comprará,Verdadero negativo
6,Día de la Madre,Familiar,Mayo,2025,0,0,0.318585,No compró,No comprará,Verdadero negativo
6,Día del Padre,Familiar,Junio,2025,0,0,0.246393,No compró,No comprará,Verdadero negativo
6,Fiestas Patrias,Festiva,Julio,2025,0,0,0.493978,No compró,No comprará,Verdadero negativo
6,Navidad,Festiva,Diciembre,2025,1,1,0.687327,Compró,Comprará,Verdadero positivo
7,Black Friday,Digital,Noviembre,2025,0,0,0.21163,No compró,No comprará,Verdadero negativo
7,Campaña Escolar,Escolar,Febrero,2025,0,0,0.300684,No compró,No comprará,Verdadero negativo
7,Campaña Escolar,Escolar,Marzo,2025,1,0,0.235924,Compró,No comprará,Falso negativo
7,Cyber Wow Abril,Digital,Abril,2025,1,0,0.197033,Compró,No comprará,Falso negativo
7,Cyber Wow Julio,Digital,Julio,2025,0,0,0.207475,No compró,No comprará,Verdadero negativo
7,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.212773,No compró,No comprará,Verdadero negativo
7,Día de la Madre,Familiar,Mayo,2025,0,0,0.239628,No compró,No comprará,Verdadero negativo
7,Día del Padre,Familiar,Junio,2025,0,0,0.292796,No compró,No comprará,Verdadero negativo
7,Fiestas Patrias,Festiva,Julio,2025,1,0,0.404447,Compró,No comprará,Falso negativo
7,Navidad,Festiva,Diciembre,2025,1,1,0.682091,Compró,Comprará,Verdadero positivo
8,Black Friday,Digital,Noviembre,2025,0,0,0.362357,No compró,No comprará,Verdadero negativo
8,Campaña Escolar,Escolar,Febrero,2025,0,0,0.263403,No compró,No comprará,Verdadero negativo
8,Campaña Escolar,Escolar,Marzo,2025,0,0,0.318145,No compró,No comprará,Verdadero negativo
8,Cyber Wow Abril,Digital,Abril,2025,0,0,0.127737,No compró,No comprará,Verdadero negativo
8,Cyber Wow Julio,Digital,Julio,2025,0,0,0.19017,No compró,No comprará,Verdadero negativo
8,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.226791,No compró,No comprará,Verdadero negativo
8,Día de la Madre,Familiar,Mayo,2025,0,0,0.217472,No compró,No comprará,Verdadero negativo
8,Día del Padre,Familiar,Junio,2025,0,0,0.245143,No compró,No comprará,Verdadero negativo
8,Fiestas Patrias,Festiva,Julio,2025,1,0,0.324891,Compró,No comprará,Falso negativo
8,Navidad,Festiva,Diciembre,2025,1,1,0.728303,Compró,Comprará,Verdadero positivo
9,Black Friday,Digital,Noviembre,2025,0,0,0.102434,No compró,No comprará,Verdadero negativo
9,Campaña Escolar,Escolar,Febrero,2025,0,0,0.212079,No compró,No comprará,Verdadero negativo
9,Campaña Escolar,Escolar,Marzo,2025,0,0,0.276224,No compró,No comprará,Verdadero negativo
9,Cyber Wow Abril,Digital,Abril,2025,0,0,0.097236,No compró,No comprará,Verdadero negativo
9,Cyber Wow Julio,Digital,Julio,2025,0,0,0.162603,No compró,No comprará,Verdadero negativo
9,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.088156,No compró,No comprará,Verdadero negativo
9,Día de la Madre,Familiar,Mayo,2025,0,0,0.143746,No compró,No comprará,Verdadero negativo
9,Día del Padre,Familiar,Junio,2025,0,0,0.146955,No compró,No comprará,Verdadero negativo
9,Fiestas Patrias,Festiva,Julio,2025,0,0,0.279657,No compró,No comprará,Verdadero negativo
9,Navidad,Festiva,Diciembre,2025,0,0,0.461918,No compró,No comprará,Verdadero negativo
10,Black Friday,Digital,Noviembre,2025,0,0,0.240438,No compró,No comprará,Verdadero negativo
10,Campaña Escolar,Escolar,Febrero,2025,0,0,0.240446,No compró,No comprará,Verdadero negativo
10,Campaña Escolar,Escolar,Marzo,2025,0,0,0.267147,No compró,No comprará,Verdadero negativo
10,Cyber Wow Abril,Digital,Abril,2025,1,0,0.098106,Compró,No comprará,Falso negativo
10,Cyber Wow Julio,Digital,Julio,2025,0,0,0.188779,No compró,No comprará,Verdadero negativo
10,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.181512,No compró,No comprará,Verdadero negativo
10,Día de la Madre,Familiar,Mayo,2025,0,0,0.213137,No compró,No comprará,Verdadero negativo
10,Día del Padre,Familiar,Junio,2025,0,0,0.226345,No compró,No comprará,Verdadero negativo
10,Fiestas Patrias,Festiva,Julio,2025,0,0,0.390278,No compró,No comprará,Verdadero negativo
10,Navidad,Festiva,Diciembre,2025,0,1,0.623769,No compró,Comprará,Falso positivo
11,Black Friday,Digital,Noviembre,2025,0,0,0.349425,No compró,No comprará,Verdadero negativo
11,Campaña Escolar,Escolar,Febrero,2025,0,0,0.34162,No compró,No comprará,Verdadero negativo
11,Campaña Escolar,Escolar,Marzo,2025,0,0,0.363036,No compró,No comprará,Verdadero negativo
11,Cyber Wow Abril,Digital,Abril,2025,0,0,0.15693,No compró,No comprará,Verdadero negativo
11,Cyber Wow Julio,Digital,Julio,2025,0,0,0.304241,No compró,No comprará,Verdadero negativo
11,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.274416,No compró,No comprará,Verdadero negativo
11,Día de la Madre,Familiar,Mayo,2025,1,0,0.270635,Compró,No comprará,Falso negativo
11,Día del Padre,Familiar,Junio,2025,0,0,0.245841,No compró,No comprará,Verdadero negativo
11,Fiestas Patrias,Festiva,Julio,2025,0,0,0.455371,No compró,No comprará,Verdadero negativo
11,Navidad,Festiva,Diciembre,2025,1,1,0.709548,Compró,Comprará,Verdadero positivo
12,Black Friday,Digital,Noviembre,2025,0,0,0.22196,No compró,No comprará,Verdadero negativo
12,Campaña Escolar,Escolar,Febrero,2025,0,0,0.340183,No compró,No comprará,Verdadero negativo
12,Campaña Escolar,Escolar,Marzo,2025,0,0,0.401451,No compró,No comprará,Verdadero negativo
12,Cyber Wow Abril,Digital,Abril,2025,0,0,0.154592,No compró,No comprará,Verdadero negativo
12,Cyber Wow Julio,Digital,Julio,2025,0,0,0.208642,No compró,No comprará,Verdadero negativo
12,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.149303,No compró,No comprará,Verdadero negativo
12,Día de la Madre,Familiar,Mayo,2025,0,0,0.226704,No compró,No comprará,Verdadero negativo
12,Día del Padre,Familiar,Junio,2025,0,0,0.24597,No compró,No comprará,Verdadero negativo
12,Fiestas Patrias,Festiva,Julio,2025,0,0,0.361796,No compró,No comprará,Verdadero negativo
12,Navidad,Festiva,Diciembre,2025,0,1,0.573286,No compró,Comprará,Falso positivo
13,Black Friday,Digital,Noviembre,2025,0,0,0.281832,No compró,No comprará,Verdadero negativo
13,Campaña Escolar,Escolar,Febrero,2025,0,0,0.312584,No compró,No comprará,Verdadero negativo
13,Campaña Escolar,Escolar,Marzo,2025,0,0,0.428087,No compró,No comprará,Verdadero negativo
13,Cyber Wow Abril,Digital,Abril,2025,0,0,0.200416,No compró,No comprará,Verdadero negativo
13,Cyber Wow Julio,Digital,Julio,2025,0,0,0.20598,No compró,No comprará,Verdadero negativo
13,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.163984,No compró,No comprará,Verdadero negativo
13,Día de la Madre,Familiar,Mayo,2025,0,0,0.238039,No compró,No comprará,Verdadero negativo
13,Día del Padre,Familiar,Junio,2025,0,0,0.281557,No compró,No comprará,Verdadero negativo
13,Fiestas Patrias,Festiva,Julio,2025,0,0,0.418672,No compró,No comprará,Verdadero negativo
13,Navidad,Festiva,Diciembre,2025,1,1,0.670465,Compró,Comprará,Verdadero positivo
14,Black Friday,Digital,Noviembre,2025,0,0,0.284957,No compró,No comprará,Verdadero negativo
14,Campaña Escolar,Escolar,Febrero,2025,0,0,0.271246,No compró,No comprará,Verdadero negativo
14,Campaña Escolar,Escolar,Marzo,2025,0,0,0.274578,No compró,No comprará,Verdadero negativo
14,Cyber Wow Abril,Digital,Abril,2025,1,0,0.132414,Compró,No comprará,Falso negativo
14,Cyber Wow Julio,Digital,Julio,2025,0,0,0.233123,No compró,No comprará,Verdadero negativo
14,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.235145,No compró,No comprará,Verdadero negativo
14,Día de la Madre,Familiar,Mayo,2025,0,0,0.247605,No compró,No comprará,Verdadero negativo
14,Día del Padre,Familiar,Junio,2025,0,0,0.254313,No compró,No comprará,Verdadero negativo
14,Fiestas Patrias,Festiva,Julio,2025,0,0,0.395682,No compró,No comprará,Verdadero negativo
14,Navidad,Festiva,Diciembre,2025,1,1,0.683621,Compró,Comprará,Verdadero positivo
15,Black Friday,Digital,Noviembre,2025,0,0,0.407548,No compró,No comprará,Verdadero negativo
15,Campaña Escolar,Escolar,Febrero,2025,0,0,0.34716,No compró,No comprará,Verdadero negativo
15,Campaña Escolar,Escolar,Marzo,2025,0,0,0.436641,No compró,No comprará,Verdadero negativo
15,Cyber Wow Abril,Digital,Abril,2025,0,0,0.180056,No compró,No comprará,Verdadero negativo
15,Cyber Wow Julio,Digital,Julio,2025,0,0,0.242323,No compró,No comprará,Verdadero negativo
15,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.256058,No compró,No comprará,Verdadero negativo
15,Día de la Madre,Familiar,Mayo,2025,1,0,0.339962,Compró,No comprará,Falso negativo
15,Día del Padre,Familiar,Junio,2025,0,0,0.305675,No compró,No comprará,Verdadero negativo
15,Fiestas Patrias,Festiva,Julio,2025,0,0,0.44953,No compró,No comprará,Verdadero negativo
15,Navidad,Festiva,Diciembre,2025,1,1,0.729758,Compró,Comprará,Verdadero positivo
16,Black Friday,Digital,Noviembre,2025,0,0,0.168123,No compró,No comprará,Verdadero negativo
16,Campaña Escolar,Escolar,Febrero,2025,0,0,0.30437,No compró,No comprará,Verdadero negativo
16,Campaña Escolar,Escolar,Marzo,2025,0,0,0.308683,No compró,No comprará,Verdadero negativo
16,Cyber Wow Abril,Digital,Abril,2025,0,0,0.133593,No compró,No comprará,Verdadero negativo
16,Cyber Wow Julio,Digital,Julio,2025,0,0,0.107443,No compró,No comprará,Verdadero negativo
16,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.10518,No compró,No comprará,Verdadero negativo
16,Día de la Madre,Familiar,Mayo,2025,0,0,0.198244,No compró,No comprará,Verdadero negativo
16,Día del Padre,Familiar,Junio,2025,0,0,0.17716,No compró,No comprará,Verdadero negativo
16,Fiestas Patrias,Festiva,Julio,2025,0,0,0.301722,No compró,No comprará,Verdadero negativo
16,Navidad,Festiva,Diciembre,2025,0,1,0.508939,No compró,Comprará,Falso positivo
17,Black Friday,Digital,Noviembre,2025,0,0,0.275692,No compró,No comprará,Verdadero negativo
17,Campaña Escolar,Escolar,Febrero,2025,1,0,0.302814,Compró,No comprará,Falso negativo
17,Campaña Escolar,Escolar,Marzo,2025,0,0,0.358846,No compró,No comprará,Verdadero negativo
17,Cyber Wow Abril,Digital,Abril,2025,1,0,0.171706,Compró,No comprará,Falso negativo
17,Cyber Wow Julio,Digital,Julio,2025,1,0,0.25468,Compró,No comprará,Falso negativo
17,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.219487,No compró,No comprará,Verdadero negativo
17,Día de la Madre,Familiar,Mayo,2025,0,0,0.280188,No compró,No comprará,Verdadero negativo
17,Día del Padre,Familiar,Junio,2025,1,0,0.270259,Compró,No comprará,Falso negativo
17,Fiestas Patrias,Festiva,Julio,2025,1,0,0.459829,Compró,No comprará,Falso negativo
17,Navidad,Festiva,Diciembre,2025,1,1,0.736797,Compró,Comprará,Verdadero positivo
18,Black Friday,Digital,Noviembre,2025,0,0,0.135918,No compró,No comprará,Verdadero negativo
18,Campaña Escolar,Escolar,Febrero,2025,0,0,0.250224,No compró,No comprará,Verdadero negativo
18,Campaña Escolar,Escolar,Marzo,2025,0,0,0.2768,No compró,No comprará,Verdadero negativo
18,Cyber Wow Abril,Digital,Abril,2025,0,0,0.09791,No compró,No comprará,Verdadero negativo
18,Cyber Wow Julio,Digital,Julio,2025,0,0,0.156309,No compró,No comprará,Verdadero negativo
18,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.09207,No compró,No comprará,Verdadero negativo
18,Día de la Madre,Familiar,Mayo,2025,0,0,0.179185,No compró,No comprará,Verdadero negativo
18,Día del Padre,Familiar,Junio,2025,0,0,0.151902,No compró,No comprará,Verdadero negativo
18,Fiestas Patrias,Festiva,Julio,2025,0,0,0.291537,No compró,No comprará,Verdadero negativo
18,Navidad,Festiva,Diciembre,2025,0,0,0.4596,No compró,No comprará,Verdadero negativo
19,Black Friday,Digital,Noviembre,2025,0,0,0.406978,No compró,No comprará,Verdadero negativo
19,Campaña Escolar,Escolar,Febrero,2025,0,0,0.44859,No compró,No comprará,Verdadero negativo
19,Campaña Escolar,Escolar,Marzo,2025,0,0,0.497391,No compró,No comprará,Verdadero negativo
19,Cyber Wow Abril,Digital,Abril,2025,0,0,0.157515,No compró,No comprará,Verdadero negativo
19,Cyber Wow Julio,Digital,Julio,2025,1,0,0.201824,Compró,No comprará,Falso negativo
19,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.299933,No compró,No comprará,Verdadero negativo
19,Día de la Madre,Familiar,Mayo,2025,0,0,0.338077,No compró,No comprará,Verdadero negativo
19,Día del Padre,Familiar,Junio,2025,0,0,0.275326,No compró,No comprará,Verdadero negativo
19,Fiestas Patrias,Festiva,Julio,2025,1,0,0.444841,Compró,No comprará,Falso negativo
19,Navidad,Festiva,Diciembre,2025,0,1,0.79399,No compró,Comprará,Falso positivo
20,Black Friday,Digital,Noviembre,2025,0,0,0.291474,No compró,No comprará,Verdadero negativo
20,Campaña Escolar,Escolar,Febrero,2025,0,0,0.330879,No compró,No comprará,Verdadero negativo
20,Campaña Escolar,Escolar,Marzo,2025,0,0,0.337999,No compró,No comprará,Verdadero negativo
20,Cyber Wow Abril,Digital,Abril,2025,0,0,0.198207,No compró,No comprará,Verdadero negativo
20,Cyber Wow Julio,Digital,Julio,2025,0,0,0.263059,No compró,No comprará,Verdadero negativo
20,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.237065,No compró,No comprará,Verdadero negativo
20,Día de la Madre,Familiar,Mayo,2025,0,0,0.280381,No compró,No comprará,Verdadero negativo
20,Día del Padre,Familiar,Junio,2025,1,0,0.237447,Compró,No comprará,Falso negativo
20,Fiestas Patrias,Festiva,Julio,2025,0,0,0.399431,No compró,No comprará,Verdadero negativo
20,Navidad,Festiva,Diciembre,2025,0,1,0.703632,No compró,Comprará,Falso positivo
21,Black Friday,Digital,Noviembre,2025,0,0,0.347573,No compró,No comprará,Verdadero negativo
21,Campaña Escolar,Escolar,Febrero,2025,1,0,0.35585,Compró,No comprará,Falso negativo
21,Campaña Escolar,Escolar,Marzo,2025,0,0,0.411159,No compró,No comprará,Verdadero negativo
21,Cyber Wow Abril,Digital,Abril,2025,0,0,0.186031,No compró,No comprará,Verdadero negativo
21,Cyber Wow Julio,Digital,Julio,2025,0,0,0.238958,No compró,No comprará,Verdadero negativo
21,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.236577,No compró,No comprará,Verdadero negativo
21,Día de la Madre,Familiar,Mayo,2025,0,0,0.309086,No compró,No comprará,Verdadero negativo
21,Día del Padre,Familiar,Junio,2025,0,0,0.291558,No compró,No comprará,Verdadero negativo
21,Fiestas Patrias,Festiva,Julio,2025,1,0,0.469067,Compró,No comprará,Falso negativo
21,Navidad,Festiva,Diciembre,2025,0,1,0.712925,No compró,Comprará,Falso positivo
22,Black Friday,Digital,Noviembre,2025,0,0,0.231964,No compró,No comprará,Verdadero negativo
22,Campaña Escolar,Escolar,Febrero,2025,1,0,0.321194,Compró,No comprará,Falso negativo
22,Campaña Escolar,Escolar,Marzo,2025,0,0,0.371771,No compró,No comprará,Verdadero negativo
22,Cyber Wow Abril,Digital,Abril,2025,0,0,0.155945,No compró,No comprará,Verdadero negativo
22,Cyber Wow Julio,Digital,Julio,2025,0,0,0.253298,No compró,No comprará,Verdadero negativo
22,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.218429,No compró,No comprará,Verdadero negativo
22,Día de la Madre,Familiar,Mayo,2025,0,0,0.26202,No compró,No comprará,Verdadero negativo
22,Día del Padre,Familiar,Junio,2025,1,0,0.265309,Compró,No comprará,Falso negativo
22,Fiestas Patrias,Festiva,Julio,2025,1,0,0.367635,Compró,No comprará,Falso negativo
22,Navidad,Festiva,Diciembre,2025,1,1,0.698674,Compró,Comprará,Verdadero positivo
23,Black Friday,Digital,Noviembre,2025,0,0,0.285755,No compró,No comprará,Verdadero negativo
23,Campaña Escolar,Escolar,Febrero,2025,0,0,0.340611,No compró,No comprará,Verdadero negativo
23,Campaña Escolar,Escolar,Marzo,2025,0,0,0.397217,No compró,No comprará,Verdadero negativo
23,Cyber Wow Abril,Digital,Abril,2025,0,0,0.164743,No compró,No comprará,Verdadero negativo
23,Cyber Wow Julio,Digital,Julio,2025,0,0,0.286468,No compró,No comprará,Verdadero negativo
23,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.271464,No compró,No comprará,Verdadero negativo
23,Día de la Madre,Familiar,Mayo,2025,0,0,0.283872,No compró,No comprará,Verdadero negativo
23,Día del Padre,Familiar,Junio,2025,0,0,0.19719,No compró,No comprará,Verdadero negativo
23,Fiestas Patrias,Festiva,Julio,2025,0,1,0.500701,No compró,Comprará,Falso positivo
23,Navidad,Festiva,Diciembre,2025,0,1,0.691652,No compró,Comprará,Falso positivo
24,Black Friday,Digital,Noviembre,2025,0,0,0.235319,No compró,No comprará,Verdadero negativo
24,Campaña Escolar,Escolar,Febrero,2025,0,0,0.251213,No compró,No comprará,Verdadero negativo
24,Campaña Escolar,Escolar,Marzo,2025,1,0,0.264668,Compró,No comprará,Falso negativo
24,Cyber Wow Abril,Digital,Abril,2025,0,0,0.140292,No compró,No comprará,Verdadero negativo
24,Cyber Wow Julio,Digital,Julio,2025,0,0,0.181718,No compró,No comprará,Verdadero negativo
24,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.176094,No compró,No comprará,Verdadero negativo
24,Día de la Madre,Familiar,Mayo,2025,0,0,0.202084,No compró,No comprará,Verdadero negativo
24,Día del Padre,Familiar,Junio,2025,0,0,0.22437,No compró,No comprará,Verdadero negativo
24,Fiestas Patrias,Festiva,Julio,2025,0,0,0.387811,No compró,No comprará,Verdadero negativo
24,Navidad,Festiva,Diciembre,2025,0,1,0.624687,No compró,Comprará,Falso positivo
25,Black Friday,Digital,Noviembre,2025,0,0,0.252789,No compró,No comprará,Verdadero negativo
25,Campaña Escolar,Escolar,Febrero,2025,0,0,0.325986,No compró,No comprará,Verdadero negativo
25,Campaña Escolar,Escolar,Marzo,2025,0,0,0.405236,No compró,No comprará,Verdadero negativo
25,Cyber Wow Abril,Digital,Abril,2025,0,0,0.160299,No compró,No comprará,Verdadero negativo
25,Cyber Wow Julio,Digital,Julio,2025,0,0,0.198863,No compró,No comprará,Verdadero negativo
25,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.177001,No compró,No comprará,Verdadero negativo
25,Día de la Madre,Familiar,Mayo,2025,0,0,0.236416,No compró,No comprará,Verdadero negativo
25,Día del Padre,Familiar,Junio,2025,0,0,0.247576,No compró,No comprará,Verdadero negativo
25,Fiestas Patrias,Festiva,Julio,2025,0,0,0.395023,No compró,No comprará,Verdadero negativo
25,Navidad,Festiva,Diciembre,2025,0,1,0.60273,No compró,Comprará,Falso positivo
26,Black Friday,Digital,Noviembre,2025,0,0,0.356577,No compró,No comprará,Verdadero negativo
26,Campaña Escolar,Escolar,Febrero,2025,0,0,0.393815,No compró,No comprará,Verdadero negativo
26,Campaña Escolar,Escolar,Marzo,2025,1,0,0.402373,Compró,No comprará,Falso negativo
26,Cyber Wow Abril,Digital,Abril,2025,0,0,0.218742,No compró,No comprará,Verdadero negativo
26,Cyber Wow Julio,Digital,Julio,2025,0,0,0.212741,No compró,No comprará,Verdadero negativo
26,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.248242,No compró,No comprará,Verdadero negativo
26,Día de la Madre,Familiar,Mayo,2025,0,0,0.305447,No compró,No comprará,Verdadero negativo
26,Día del Padre,Familiar,Junio,2025,0,0,0.254996,No compró,No comprará,Verdadero negativo
26,Fiestas Patrias,Festiva,Julio,2025,1,0,0.458971,Compró,No comprará,Falso negativo
26,Navidad,Festiva,Diciembre,2025,1,1,0.741753,Compró,Comprará,Verdadero positivo
27,Black Friday,Digital,Noviembre,2025,0,0,0.295874,No compró,No comprará,Verdadero negativo
27,Campaña Escolar,Escolar,Febrero,2025,0,0,0.297902,No compró,No comprará,Verdadero negativo
27,Campaña Escolar,Escolar,Marzo,2025,0,0,0.39732,No compró,No comprará,Verdadero negativo
27,Cyber Wow Abril,Digital,Abril,2025,0,0,0.238317,No compró,No comprará,Verdadero negativo
27,Cyber Wow Julio,Digital,Julio,2025,0,0,0.243409,No compró,No comprará,Verdadero negativo
27,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.162155,No compró,No comprará,Verdadero negativo
27,Día de la Madre,Familiar,Mayo,2025,0,0,0.275474,No compró,No comprará,Verdadero negativo
27,Día del Padre,Familiar,Junio,2025,0,0,0.234367,No compró,No comprará,Verdadero negativo
27,Fiestas Patrias,Festiva,Julio,2025,0,0,0.429181,No compró,No comprará,Verdadero negativo
27,Navidad,Festiva,Diciembre,2025,0,1,0.682776,No compró,Comprará,Falso positivo
28,Black Friday,Digital,Noviembre,2025,1,0,0.345952,Compró,No comprará,Falso negativo
28,Campaña Escolar,Escolar,Febrero,2025,0,0,0.401385,No compró,No comprará,Verdadero negativo
28,Campaña Escolar,Escolar,Marzo,2025,0,0,0.487241,No compró,No comprará,Verdadero negativo
28,Cyber Wow Abril,Digital,Abril,2025,0,0,0.2035,No compró,No comprará,Verdadero negativo
28,Cyber Wow Julio,Digital,Julio,2025,0,0,0.260371,No compró,No comprará,Verdadero negativo
28,Cyber Wow Noviembre,Digital,Noviembre,2025,0,0,0.257851,No compró,No comprará,Verdadero negativo
