id_ticket,fecha,id_cliente,id_tienda,canal,metodo_pago,campaña,es_campaña,tipo_campaña,cantidad_lineas,unidades_totales,monto_ticket,descuento_promedio_ticket,margen_ticket
T000029,2025-06-16,1438,12,Web,Yape,Día del Padre,1,Familiar,2,9,525.82,0.0764,79.66
T000030,2025-01-13,13473,12,Web,Yape,Normal,0,Regular,2,3,156.23,0.0411,57.39
T000031,2023-01-21,6595,1,Tienda,Tarjeta Crédito,Normal,0,Regular,4,10,3416.95,0.0573,807.16
T000032,2024-11-07,5085,6,Tienda,Tarjeta Débito,Normal,0,Regular,2,13,260.35,0.033,91.62
T000033,2023-10-10,4134,2,Tienda,Tarjeta Débito,Normal,0,Regular,2,3,2827.6,0.117,629.23
T000034,2025-01-10,350,12,Web,Tarjeta Débito,Normal,0,Regular,3,10,3407.17,0.0601,721.55
T000035,2025-08-24,2883,12,Web,Tarjeta Débito,Normal,0,Regular,1,5,282.81,0.0489,90.71
T000036,2023-10-23,13974,12,Web,Yape,Normal,0,Regular,1,2,38.18,0.0195,10.04
T000037,2024-11-03,2143,2,Tienda,Tarjeta Crédito,Cyber Wow Noviembre,1,Digital,3,8,12789.04,0.1616,998.88
T000038,2025-09-11,1090,2,Tienda,Efectivo,Normal,0,Regular,1,2,859.76,0.0363,311.88
T000039,2024-08-07,13064,9,Tienda,Tarjeta Débito,Normal,0,Regular,2,8,2611.19,0.0365,655.53
T000040,2023-12-01,11525,12,App,Tarjeta Crédito,Navidad,1,Festiva,2,4,256.54,0.1314,47.99
T000041,2024-12-02,14527,12,App,Tarjeta Crédito,Navidad,1,Festiva,3,5,987.33,0.1269,185.49
T000042,2023-08-01,10907,12,Web,Tarjeta Crédito,Normal,0,Regular,3,6,376.64,0.0576,80.59
T000043,2024-12-21,14189,12,Web,Transferencia,Navidad,1,Festiva,3,11,2244.28,0.1191,294.33
T000044,2025-06-15,10808,5,Tienda,Tarjeta Crédito,Día del Padre,1,Familiar,3,4,2693.0,0.0955,653.14
T000045,2025-05-12,5312,6,Tienda,Efectivo,Día de la Madre,1,Familiar,3,4,697.47,0.1758,174.7
T000046,2025-12-31,14240,1,Tienda,Plin,Navidad,1,Festiva,2,4,2750.21,0.0786,830.03
T000047,2024-07-18,9156,12,Web,Tarjeta Débito,Fiestas Patrias,1,Festiva,2,12,258.22,0.0709,69.54
T000048,2024-11-26,6817,2,Tienda,Tarjeta Crédito,Black Friday,1,Digital,5,9,11665.94,0.1818,1153.93
T000049,2025-12-23,7141,3,Tienda,Efectivo,Navidad,1,Festiva,2,16,1781.95,0.0862,388.51
T000050,2024-06-30,8428,2,Tienda,Plin,Normal,0,Regular,4,6,2584.54,0.0658,672.73
T000051,2024-12-30,13096,12,App,Tarjeta Crédito,Navidad,1,Festiva,2,10,5071.28,0.0985,1246.52
T000052,2023-10-24,4162,12,Web,Tarjeta Crédito,Normal,0,Regular,5,14,4591.15,0.0519,1016.23
T000053,2025-02-17,1716,11,Tienda,Efectivo,Campaña Escolar,1,Escolar,1,1,4633.48,0.0491,1192.64
T000054,2025-08-26,6446,8,Tienda,Tarjeta Crédito,Normal,0,Regular,3,5,886.59,0.0678,203.68
T000055,2024-11-08,10907,6,Tienda,Tarjeta Crédito,Normal,0,Regular,4,12,4241.82,0.0578,790.15
T000056,2023-11-16,6042,12,Web,Tarjeta Crédito,Normal,0,Regular,3,5,487.98,0.0737,139.48
T000057,2023-07-27,6600,5,Tienda,Efectivo,Fiestas Patrias,1,Festiva,1,1,49.85,0.0576,13.31
T000058,2023-10-14,12550,3,Tienda,Tarjeta Crédito,Normal,0,Regular,3,4,108.38,0.0186,38.59
T000059,2023-12-05,12668,12,App,Tarjeta Débito,Navidad,1,Festiva,1,4,828.58,0.1543,114.02
T000060,2023-11-02,13213,12,App,Tarjeta Crédito,Cyber Wow Noviembre,1,Digital,2,7,8794.58,0.1953,273.42
T000061,2025-12-06,13901,12,App,Yape,Navidad,1,Festiva,2,6,1194.56,0.1341,123.32
T000062,2023-12-19,10184,12,Web,Tarjeta Débito,Navidad,1,Festiva,5,15,4395.1,0.1171,797.24
T000063,2024-11-26,2524,7,Tienda,Efectivo,Black Friday,1,Digital,2,3,3421.23,0.1314,434.94
T000064,2025-12-31,12791,12,App,Yape,Navidad,1,Festiva,2,4,754.43,0.0993,145.61
T000065,2025-05-16,6426,12,App,Tarjeta Crédito,Normal,0,Regular,1,3,55.52,0.0653,10.61
T000066,2024-03-06,3003,6,Tienda,Plin,Campaña Escolar,1,Escolar,2,11,962.93,0.0776,285.34
T000067,2024-04-22,8729,2,Tienda,Efectivo,Cyber Wow Abril,1,Digital,4,9,2326.8,0.1511,572.56
T000068,2025-08-14,1014,11,Tienda,Tarjeta Crédito,Normal,0,Regular,2,6,307.27,0.0646,94.73
T000069,2025-04-26,7756,1,Tienda,Efectivo,Normal,0,Regular,1,2,29.94,0.0335,10.32
T000070,2023-11-07,4170,12,Web,Tarjeta Débito,Normal,0,Regular,2,8,259.26,0.0526,37.91
T000071,2024-02-20,6431,7,Tienda,Plin,Campaña Escolar,1,Escolar,4,10,5783.57,0.0665,1861.91
T000072,2025-07-13,2326,12,Web,Tarjeta Débito,Cyber Wow Julio,1,Digital,2,5,254.68,0.1732,9.64
T000073,2024-05-31,11410,1,Tienda,Yape,Normal,0,Regular,2,19,294.46,0.0424,91.08
T000074,2024-08-29,8436,12,Web,Yape,Normal,0,Regular,3,6,216.47,0.0426,49.56
T000075,2023-03-21,14599,4,Tienda,Plin,Campaña Escolar,1,Escolar,1,2,734.12,0.0421,168.56
T000076,2024-12-26,1892,2,Tienda,Tarjeta Débito,Navidad,1,Festiva,2,8,12548.27,0.1094,2906.87
T000077,2023-06-14,9621,10,Tienda,Efectivo,Día del Padre,1,Familiar,4,5,5573.19,0.096,1122.26
T000078,2024-02-06,11914,4,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,9,3809.17,0.0684,777.24
T000079,2025-12-09,8059,12,Web,Transferencia,Navidad,1,Festiva,4,11,2674.75,0.1245,717.11
T000080,2025-09-06,7494,7,Tienda,Tarjeta Crédito,Normal,0,Regular,2,6,305.44,0.1546,52.03
T000081,2025-12-16,467,2,Tienda,Tarjeta Crédito,Navidad,1,Festiva,3,9,1587.83,0.0762,459.25
T000082,2023-07-12,234,11,Tienda,Efectivo,Fiestas Patrias,1,Festiva,4,14,3356.03,0.0558,817.11
T000083,2025-04-23,5055,12,App,Tarjeta Débito,Cyber Wow Abril,1,Digital,4,9,8472.8,0.196,1455.05
T000084,2024-07-27,1025,12,App,Tarjeta Crédito,Fiestas Patrias,1,Festiva,5,10,3814.51,0.1006,879.95
T000085,2025-12-06,14726,12,App,Tarjeta Débito,Navidad,1,Festiva,4,12,353.87,0.1362,78.05
T000086,2023-08-07,8779,12,Web,Tarjeta Débito,Normal,0,Regular,2,9,3703.63,0.0819,522.89
T000087,2024-12-17,10167,8,Tienda,Tarjeta Débito,Navidad,1,Festiva,2,8,1327.57,0.0894,240.01
T000088,2024-12-30,5462,12,App,Transferencia,Navidad,1,Festiva,3,9,1661.49,0.1094,177.53
T000089,2023-03-08,12934,6,Tienda,Yape,Campaña Escolar,1,Escolar,2,8,2133.26,0.06,446.38
T000090,2024-06-29,2280,3,Tienda,Yape,Normal,0,Regular,2,3,4071.23,0.0387,585.6
T000091,2024-12-01,8330,9,Tienda,Efectivo,Navidad,1,Festiva,4,13,3043.41,0.071,527.27
T000092,2023-07-11,14949,12,Web,Yape,Fiestas Patrias,1,Festiva,2,7,1479.99,0.0947,292.07
T000093,2025-12-26,1669,11,Tienda,Tarjeta Crédito,Navidad,1,Festiva,3,12,3686.68,0.0923,796.06
T000094,2025-06-20,14322,12,Web,Tarjeta Crédito,Normal,0,Regular,3,10,2557.95,0.0906,538.83
T000095,2025-12-03,13778,7,Tienda,Plin,Navidad,1,Festiva,1,1,361.83,0.2227,-0.57
T000096,2025-05-05,5776,10,Tienda,Tarjeta Débito,Día de la Madre,1,Familiar,1,2,6025.28,0.1485,720.64
T000097,2025-09-19,1393,12,App,Plin,Normal,0,Regular,6,23,10051.44,0.0783,2249.28
T000098,2023-11-03,11436,12,Web,Plin,Cyber Wow Noviembre,1,Digital,3,4,3872.69,0.1844,764.92
T000099,2024-04-04,8947,1,Tienda,Tarjeta Crédito,Normal,0,Regular,3,4,430.04,0.0541,104.45
T000100,2025-07-30,4034,12,App,Tarjeta Débito,Fiestas Patrias,1,Festiva,1,3,736.82,0.1281,128.03
T000101,2025-05-17,12264,12,Web,Tarjeta Débito,Normal,0,Regular,1,7,887.42,0.122,13.82
T000102,2025-11-09,7445,2,Tienda,Efectivo,Normal,0,Regular,1,6,139.92,0.0051,33.0
T000103,2024-12-14,4722,12,Web,Tarjeta Crédito,Navidad,1,Festiva,3,8,820.48,0.1126,170.29
T000104,2023-04-05,7207,1,Tienda,Tarjeta Crédito,Normal,0,Regular,2,7,5221.26,0.0822,787.88
T000105,2024-11-03,13383,12,App,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,4,10,4669.15,0.1997,259.04
T000106,2025-11-05,12921,12,Web,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,1,1,189.82,0.154,21.35
T000107,2023-12-11,8991,4,Tienda,Tarjeta Débito,Navidad,1,Festiva,5,12,5901.89,0.1108,1512.31
T000108,2025-12-05,9493,12,Web,Tarjeta Crédito,Navidad,1,Festiva,1,5,726.91,0.0853,102.91
T000109,2023-05-03,3620,12,Web,Tarjeta Crédito,Normal,0,Regular,5,9,6269.88,0.08,1337.63
T000110,2025-11-02,5623,12,App,Tarjeta Crédito,Cyber Wow Noviembre,1,Digital,6,15,1825.33,0.2025,123.48
T000111,2023-03-06,10782,9,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,2,7,8569.62,0.052,1817.12
T000112,2023-11-27,8460,12,Web,Tarjeta Débito,Black Friday,1,Digital,4,9,2670.18,0.2114,347.83
T000113,2023-03-28,5284,2,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,6,7,6901.66,0.0701,1622.25
T000114,2024-02-05,6139,3,Tienda,Efectivo,Campaña Escolar,1,Escolar,2,4,4111.53,0.0485,1036.51
T000115,2023-12-09,6000,1,Tienda,Tarjeta Crédito,Navidad,1,Festiva,1,8,2635.04,0.0833,843.12
T000116,2025-08-08,6253,12,App,Tarjeta Débito,Normal,0,Regular,1,2,604.73,0.1053,166.71
T000117,2023-12-01,10745,11,Tienda,Plin,Navidad,1,Festiva,4,9,3881.59,0.1019,1002.57
T000118,2025-12-05,8548,12,Web,Tarjeta Débito,Navidad,1,Festiva,5,19,3531.32,0.1278,669.56
T000119,2025-03-18,3489,2,Tienda,Efectivo,Campaña Escolar,1,Escolar,2,3,1412.99,0.079,303.85
T000120,2025-01-16,10477,4,Tienda,Plin,Normal,0,Regular,3,5,907.73,0.0446,197.5
T000121,2023-07-23,4143,3,Tienda,Efectivo,Fiestas Patrias,1,Festiva,1,3,660.35,0.0854,182.78
T000122,2023-11-22,7256,12,Web,Tarjeta Débito,Normal,0,Regular,1,1,12.3,0.0537,3.32
T000123,2023-04-09,6368,12,Web,Tarjeta Crédito,Normal,0,Regular,5,18,1946.55,0.0475,524.41
T000124,2025-03-09,2678,7,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,1,7,4674.34,0.0928,526.0
T000125,2023-07-10,11938,5,Tienda,Efectivo,Fiestas Patrias,1,Festiva,3,8,617.57,0.0651,109.59
T000126,2023-11-05,7740,10,Tienda,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,1,1,1752.02,0.1253,488.91
T000127,2024-05-08,9556,12,Web,Tarjeta Débito,Día de la Madre,1,Familiar,2,5,86.86,0.0582,15.34
T000128,2023-12-18,13136,7,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,6,7095.73,0.1086,1342.55
T000129,2024-07-27,13289,12,Web,Plin,Fiestas Patrias,1,Festiva,2,4,85.72,0.1106,21.3
T000130,2023-12-26,13168,12,Web,Tarjeta Crédito,Navidad,1,Festiva,4,14,3091.32,0.1034,566.78
T000131,2024-03-20,5096,1,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,3,12,6416.28,0.0814,1412.91
T000132,2025-07-29,1480,5,Tienda,Plin,Fiestas Patrias,1,Festiva,1,3,70.76,0.0718,13.19
T000133,2024-11-28,6431,6,Tienda,Tarjeta Débito,Black Friday,1,Digital,4,15,2100.83,0.1491,343.52
T000134,2024-06-13,10208,8,Tienda,Efectivo,Día del Padre,1,Familiar,3,5,1844.68,0.0845,401.11
T000135,2025-01-11,6734,12,App,Yape,Normal,0,Regular,1,3,323.26,0.118,62.86
T000136,2025-12-27,10731,1,Tienda,Tarjeta Débito,Navidad,1,Festiva,3,12,1334.21,0.0977,197.63
T000137,2025-03-29,3670,12,App,Tarjeta Débito,Campaña Escolar,1,Escolar,1,2,28.78,0.0891,9.16
T000138,2023-03-04,7646,9,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,16,4579.1,0.0737,1563.0
T000139,2025-04-17,9976,9,Tienda,Efectivo,Normal,0,Regular,2,2,472.92,0.0408,149.52
T000140,2024-12-02,9859,5,Tienda,Efectivo,Navidad,1,Festiva,2,6,1819.46,0.0742,452.28
T000141,2025-08-18,12086,1,Tienda,Yape,Normal,0,Regular,1,1,366.34,0.0212,63.57
T000142,2025-11-04,12043,1,Tienda,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,3,5,11351.36,0.1422,2492.44
T000143,2023-07-08,10938,2,Tienda,Efectivo,Fiestas Patrias,1,Festiva,3,9,2028.08,0.1077,232.22
T000144,2023-03-03,8223,2,Tienda,Yape,Campaña Escolar,1,Escolar,1,5,177.29,0.0458,66.94
T000145,2024-02-06,12318,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,5,13,7915.8,0.0915,2191.7
T000146,2023-10-12,11265,1,Tienda,Yape,Normal,0,Regular,1,1,65.11,0.0618,20.42
T000147,2024-01-02,7631,3,Tienda,Yape,Normal,0,Regular,3,4,5120.58,0.0749,1489.65
T000148,2023-11-27,14118,12,App,Tarjeta Débito,Black Friday,1,Digital,2,4,4132.06,0.2248,135.18
T000149,2024-09-30,3489,3,Tienda,Tarjeta Débito,Normal,0,Regular,4,14,10808.91,0.0928,2312.0
T000150,2024-06-11,4053,2,Tienda,Tarjeta Crédito,Día del Padre,1,Familiar,1,3,589.61,0.1031,118.07
T000151,2025-08-08,3390,12,App,Tarjeta Crédito,Normal,0,Regular,2,2,467.82,0.067,109.44
T000152,2023-05-26,6476,3,Tienda,Tarjeta Débito,Normal,0,Regular,2,3,123.75,0.0636,36.89
T000153,2024-08-06,7384,12,Web,Tarjeta Crédito,Normal,0,Regular,2,7,1103.08,0.053,285.89
T000154,2024-06-16,2184,12,Web,Transferencia,Día del Padre,1,Familiar,3,6,7666.32,0.1152,1287.18
T000155,2025-10-11,11885,1,Tienda,Tarjeta Crédito,Normal,0,Regular,3,3,2212.58,0.0403,461.55
T000156,2023-05-02,4178,12,Web,Plin,Normal,0,Regular,3,7,261.79,0.0671,43.18
T000157,2024-01-18,14012,12,Web,Yape,Normal,0,Regular,2,3,361.35,0.0576,77.37
T000158,2025-01-27,13590,12,App,Plin,Normal,0,Regular,3,4,4903.58,0.0848,772.79
T000159,2024-10-31,10564,3,Tienda,Yape,Normal,0,Regular,3,12,379.63,0.0358,83.35
T000160,2025-01-30,8426,12,Web,Tarjeta Crédito,Normal,0,Regular,3,8,2597.66,0.0677,675.46
T000161,2025-12-13,13070,12,Web,Tarjeta Crédito,Navidad,1,Festiva,2,6,16815.91,0.1239,144.35
T000162,2023-11-04,5492,9,Tienda,Efectivo,Cyber Wow Noviembre,1,Digital,1,5,44.95,0.1339,7.1
T000163,2023-08-11,13772,12,App,Tarjeta Débito,Normal,0,Regular,3,7,1661.59,0.0831,370.72
T000164,2024-11-02,1508,12,Web,Yape,Cyber Wow Noviembre,1,Digital,2,6,6575.98,0.1718,1396.18
T000165,2025-12-14,1220,2,Tienda,Tarjeta Crédito,Navidad,1,Festiva,4,14,8672.13,0.1133,1571.74
T000166,2025-06-21,9201,11,Tienda,Yape,Normal,0,Regular,2,2,351.58,0.0388,74.24
T000167,2024-06-14,12402,12,Web,Plin,Día del Padre,1,Familiar,5,8,3605.93,0.0693,1000.0
T000168,2023-08-02,10624,11,Tienda,Tarjeta Crédito,Normal,0,Regular,3,16,2776.53,0.0797,589.03
T000169,2025-05-17,5192,7,Tienda,Plin,Normal,0,Regular,4,10,4133.45,0.1778,11.38
T000170,2024-11-05,2841,12,Web,Tarjeta Débito,Cyber Wow Noviembre,1,Digital,3,12,12705.41,0.1715,1653.84
T000171,2024-03-04,9070,5,Tienda,Tarjeta Débito,Campaña Escolar,1,Escolar,2,4,1342.58,0.0741,216.83
T000172,2025-12-27,2283,12,Web,Tarjeta Crédito,Navidad,1,Festiva,3,13,4118.13,0.132,1227.87
T000173,2024-07-15,12572,12,Web,Yape,Cyber Wow Julio,1,Digital,1,1,2930.94,0.2181,63.88
T000174,2025-09-30,580,12,App,Plin,Normal,0,Regular,3,16,200.64,0.071,61.84
T000175,2024-04-22,10857,12,App,Tarjeta Crédito,Cyber Wow Abril,1,Digital,3,5,4125.39,0.2034,209.02
T000176,2024-08-23,2870,7,Tienda,Tarjeta Débito,Normal,0,Regular,2,2,97.11,0.059,27.58
T000177,2024-11-27,1890,12,App,Tarjeta Crédito,Black Friday,1,Digital,2,5,7337.9,0.2234,-96.48
T000178,2025-03-15,13745,12,Web,Tarjeta Crédito,Campaña Escolar,1,Escolar,2,9,3538.37,0.0697,833.28
T000179,2023-09-18,4656,5,Tienda,Tarjeta Crédito,Normal,0,Regular,3,12,4223.74,0.0545,823.24
T000180,2025-06-05,4490,2,Tienda,Efectivo,Día del Padre,1,Familiar,2,4,3426.71,0.0628,615.78
T000181,2024-04-23,1092,3,Tienda,Efectivo,Cyber Wow Abril,1,Digital,2,3,3151.82,0.1262,632.46
T000182,2025-05-18,134,12,App,Tarjeta Crédito,Normal,0,Regular,1,2,1443.58,0.0494,327.28
T000183,2025-08-16,10297,12,App,Yape,Normal,0,Regular,3,6,3080.0,0.0981,508.99
T000184,2024-08-28,13808,1,Tienda,Efectivo,Normal,0,Regular,4,6,1865.22,0.0398,578.48
T000185,2023-08-25,1463,11,Tienda,Tarjeta Crédito,Normal,0,Regular,5,9,6368.88,0.0669,1697.66
T000186,2024-09-28,13562,6,Tienda,Yape,Normal,0,Regular,4,7,249.68,0.0483,63.26
T000187,2023-07-16,10017,7,Tienda,Tarjeta Débito,Cyber Wow Julio,1,Digital,1,2,8926.59,0.1486,1247.01
T000188,2025-11-26,7633,12,App,Tarjeta Crédito,Black Friday,1,Digital,2,4,844.0,0.2125,21.41
T000189,2024-11-26,10407,1,Tienda,Efectivo,Black Friday,1,Digital,2,3,547.55,0.1554,56.03
T000190,2025-07-14,11752,12,Web,Tarjeta Débito,Cyber Wow Julio,1,Digital,2,3,1831.76,0.2302,256.34
T000191,2025-12-21,5916,3,Tienda,Efectivo,Navidad,1,Festiva,4,7,2106.24,0.09,450.39
T000192,2024-07-16,4178,12,App,Yape,Cyber Wow Julio,1,Digital,2,3,2461.43,0.283,139.06
T000193,2023-12-01,2729,3,Tienda,Tarjeta Crédito,Navidad,1,Festiva,1,2,338.97,0.1132,59.61
T000194,2025-06-01,5801,10,Tienda,Tarjeta Débito,Normal,0,Regular,3,7,2638.73,0.051,770.95
T000195,2024-04-13,13498,2,Tienda,Tarjeta Crédito,Normal,0,Regular,2,4,75.35,0.0417,26.75
T000196,2025-10-28,9661,12,App,Plin,Normal,0,Regular,3,8,5829.49,0.0474,1313.1
T000197,2024-04-06,12337,1,Tienda,Tarjeta Débito,Normal,0,Regular,5,14,7736.2,0.0553,1369.53
T000198,2024-11-09,5711,12,App,Tarjeta Crédito,Normal,0,Regular,4,10,2542.82,0.0827,677.48
T000199,2025-02-28,7409,5,Tienda,Efectivo,Campaña Escolar,1,Escolar,3,4,9292.02,0.0834,1710.9
T000200,2025-11-13,6770,12,App,Tarjeta Crédito,Normal,0,Regular,1,4,99.45,0.0625,32.41
T000201,2025-08-14,13923,12,Web,Tarjeta Crédito,Normal,0,Regular,5,13,1877.01,0.0652,506.85
T000202,2025-09-08,4383,10,Tienda,Tarjeta Crédito,Normal,0,Regular,3,17,502.17,0.0429,143.58
T000203,2023-11-27,414,12,App,Tarjeta Crédito,Black Friday,1,Digital,3,6,9493.68,0.2221,102.58
T000204,2025-12-19,5350,12,Web,Tarjeta Crédito,Navidad,1,Festiva,4,8,9074.61,0.0956,1397.69
T000205,2025-07-12,13348,12,Web,Transferencia,Fiestas Patrias,1,Festiva,3,9,1448.64,0.1174,248.66
T000206,2024-09-07,11838,12,App,Tarjeta Crédito,Normal,0,Regular,3,10,2591.97,0.0689,739.27
T000207,2023-03-27,402,12,Web,Tarjeta Débito,Campaña Escolar,1,Escolar,3,5,5589.46,0.0736,1508.44
T000208,2023-01-10,8111,1,Tienda,Plin,Normal,0,Regular,2,7,1201.49,0.0825,233.38
T000209,2024-12-20,10529,3,Tienda,Efectivo,Navidad,1,Festiva,3,3,1544.56,0.0745,385.32
T000210,2025-12-22,7702,11,Tienda,Efectivo,Navidad,1,Festiva,1,1,1070.3,0.0835,190.59
T000211,2024-03-05,13647,6,Tienda,Plin,Campaña Escolar,1,Escolar,2,2,623.84,0.065,163.62
T000212,2023-12-27,9653,12,Web,Tarjeta Débito,Navidad,1,Festiva,1,12,82.81,0.1164,16.93
T000213,2024-12-24,9608,4,Tienda,Tarjeta Crédito,Navidad,1,Festiva,4,9,1193.61,0.0968,231.42
T000214,2025-08-28,11922,12,Web,Tarjeta Débito,Normal,0,Regular,2,3,273.81,0.0587,80.94
T000215,2024-11-05,7099,7,Tienda,Yape,Cyber Wow Noviembre,1,Digital,4,5,7273.79,0.1527,1361.01
T000216,2024-07-14,11209,7,Tienda,Yape,Cyber Wow Julio,1,Digital,2,9,2655.5,0.1443,428.81
T000217,2024-06-09,12714,2,Tienda,Tarjeta Crédito,Día del Padre,1,Familiar,4,12,5199.1,0.0894,1630.15
T000218,2024-02-21,11209,6,Tienda,Tarjeta Crédito,Campaña Escolar,1,Escolar,2,3,400.02,0.0625,113.68
T000219,2025-07-04,5794,12,Web,Tarjeta Débito,Fiestas Patrias,1,Festiva,2,20,580.46,0.0694,149.46
T000220,2023-04-20,4444,6,Tienda,Tarjeta Débito,Cyber Wow Abril,1,Digital,4,6,3713.56,0.1387,538.34
T000221,2023-07-29,632,11,Tienda,Tarjeta Crédito,Fiestas Patrias,1,Festiva,1,1,142.22,0.056,41.79
T000222,2025-11-29,5561,12,App,Plin,Black Friday,1,Digital,2,4,2330.95,0.1829,186.12
T000223,2025-10-27,14524,12,App,Plin,Normal,0,Regular,3,5,1680.4,0.0636,330.05
T000224,2025-12-31,10213,12,App,Plin,Navidad,1,Festiva,3,8,7571.55,0.1611,1254.04
T000225,2023-11-13,5585,7,Tienda,Efectivo,Normal,0,Regular,1,1,8.45,0.0086,2.2
T000226,2024-12-08,10613,7,Tienda,Tarjeta Crédito,Navidad,1,Festiva,1,3,5774.85,0.113,1174.08
T000227,2025-04-20,5270,1,Tienda,Tarjeta Débito,Cyber Wow Abril,1,Digital,3,5,4033.8,0.1296,606.87
T000228,2023-03-17,2430,9,Tienda,Yape,Campaña Escolar,1,Escolar,3,7,5408.12,0.0732,1256.87
T000229,2025-11-30,1071,2,Tienda,Efectivo,Black Friday,1,Digital,3,6,549.65,0.1423,75.19
T000230,2024-10-19,10617,12,App,Tarjeta Débito,Normal,0,Regular,4,7,2564.32,0.0738,665.61
T000231,2023-09-16,8795,12,Web,Tarjeta Débito,Normal,0,Regular,1,1,9.68,0.0528,2.11
T000232,2025-04-01,5645,7,Tienda,Efectivo,Normal,0,Regular,5,10,4443.91,0.1477,590.73
T000233,2025-06-06,1569,12,Web,Tarjeta Crédito,Día del Padre,1,Familiar,3,8,1994.82,0.0866,326.12
T000234,2023-01-21,8469,11,Tienda,Efectivo,Normal,0,Regular,2,3,781.4,0.1498,-5.54
T000235,2023-03-22,10145,12,Web,Transferencia,Campaña Escolar,1,Escolar,3,7,1125.85,0.1041,302.15
